Bill,Summary,Issues
"Energy Legislation: Fuel Efficiency and Clean, Renewable Energy","America's growing dependence on oil and the threat of global climate change require a new energy policy that raises fuel economy standards, boosts production of clean, renewable energy sources, increases energy efficiency, and develops the next generation of technology. The Senate took the first step toward this goal by passing comprehensive energy legislation (H.R. 6).","Clean Energy, Transportation"
Eminent Domain,"Traditionally, state and local governments have used eminent domain to acquire land for parks and other public areas--a practice that has long been approved by the courts. In 1896, for instance, the Supreme Court unanimously endorsed condemning land in order to create Gettysburg National Battlefield Park.","Lands/Forests, Other"
Low-Income Energy Assistance,"Over the coming winter, residential customers are expected to pay 43 percent more for natural gas than they did the previous winter. This will be a particular blow for low-income families as they struggle to balance their energy needs with food, shelter, and other basic concerns.",Clean Energy
Environmental Funding,"Robust funding for environment and natural resources stewardship is critical to keeping air and water clean, protecting public lands, and safeguarding fish and wildlife. Unfortunately, the fiscal year 2007 budgets proposed by the Bush administration and endorsed by congressional leaders made substantial cuts to environmental programs.",Other
Arctic National Wildlife Refuge,"The protection of Alaska's Arctic National Wildlife Refuge is among the highest priorities for the national environmental community. Nowhere else on our continent is the complete range of arctic and sub-arctic landscapes protected in one unbroken chain, and no other conservation area in the United States has such abundant and diverse wildlife, including rare musk oxen, polar bears, grizzlies, wolves, millions of migratory birds, and more than 120,000 caribou.","Drilling, Lands/Forests, Wildlife, Dirty Energy"
Army Corps of Engineers Projects Reform,"A decade of independent studies has documented significant flaws in U.S. Army Corps of Engineers projects, and the recent levee failures in New Orleans have confirmed the need for a reliable independent review process to oversee Corps analyses, which in the past have been manipulated to favor large-scale projects that harm the environment.","Water, Other"
Army Corps of Engineers Projects Reform,"A decade of independent studies has documented significant flaws in U.S. Army Corps of Engineers projects, and the recent levee failures in New Orleans have confirmed the need for a reliable independent review process to oversee Corps analyses, which in the past have been manipulated to favor large-scale projects that harm the environment.","Water, Other"
Offshore Drilling,"Like most of America's coasts, Florida's Gulf of Mexico coastline has been protected by the 25-year bipartisan congressional moratorium on new offshore oil and gas drilling. In 1991, President George H.W. Bush instituted a separate set of protections on new coastal drilling near the Florida Keys, which President Bill Clinton extended through 2012 for most of Florida's Gulf Coast.","Drilling, Dirty Energy"
Offshore Drilling,"Like most of America's coasts, Florida's Gulf of Mexico coastline has been protected by the 25-year bipartisan congressional moratorium on new offshore oil and gas drilling. In 1991, President George H.W. Bush instituted a separate set of protections on new coastal drilling near the Florida Keys, which President Bill Clinton extended through 2012 for most of Florida's Gulf Coast.","Drilling, Dirty Energy"
Arctic Wildlife Refuge,"The protection of Alaska's Arctic National Wildlife Refuge is among the highest priorities for the national environmental community. Nowhere else on our continent is the complete range of arctic and sub-arctic landscapes protected in one unbroken chain, and no other conservation area in the circumpolar north has such abundant and diverse wildlife, including rare musk oxen, polar bears, grizzlies, wolves, millions of migratory birds, and more than 120,000 caribou. The refuge's 1.5 million-acre coastal plain has been called ""America's Serengeti.""","Drilling, Lands/Forests, Wildlife, Dirty Energy"
Population,"By allowing women to plan the size of their families, voluntary family planning programs also help to conserve natural resources in areas where expanding human numbers threaten biodiversity and endangered species. Since the mid-1990s, family planning opponents have cut U.S. funding for these programs by arguing, in part, that the money funds abortion. In fact, the use of U.S. foreign assistance to fund abortion has been prohibited since 1973.",Other
Stormwater Cleanup,"Polluted stormwater runoff can contain heavy metals, oil and gas, and huge volumes of sediment. For that reason, roads, highways, parking lots, and other paved surfaces are the largest source of water pollution in coastal areas today, according to EPA.",Water
Environmental Funding Cuts,"Robust funding for environment and natural resources stewardship is critical to keeping air and water clean, protecting public lands, and safeguarding fish and wildlife. Unfortunately, the fiscal year 2006 budgets proposed by the Bush Administration and endorsed by congressional leaders made substantial cuts to environmental programs.",Other
Brown Nomination,The Bush Administration has continued to nominate and re-nominate federal judges who are hostile to basic environmental safeguards. That pattern continued with the nomination of California Supreme Court Justice Janice Rogers Brown to a lifetime seat on the U.S. Court of Appeals for the District of Columbia Circuit.,Other
Renewable Energy,"One of the quickest and easiest ways to deploy more renewable energy is to create a market-based national standard that requires electric utilities to generate more electricity from renewable energy sources. According to the Union of Concerned Scientists, similar requirements in 24 states and the District of Columbia have produced enough electricity to power 20 million U.S. homes and have reduced as much carbon dioxide as taking 11.5 million cars off the road or planting 18.6 million acres of trees.",Clean Energy
Natural Gas Facilities,"Gas companies are seeking to increase the number of liquefied natural gas (LNG) terminals on U.S. coasts. These facilities can pose substantial risks, however, for human health and the environment. For that reason, state and local governments have sometimes intervened in the debates over where these facilities are sited.",Dirty Energy
Global Warming,"Over the past century, the Earth's surface temperature has risen by about 1 degree Fahrenheit. The primary cause of global warming is increased emissions of carbon dioxide and other greenhouse gases, which threaten to raise sea levels, trigger extended heat waves, exacerbate hurricane seasons, and destroy habitat and species. As a result, environmentalists overwhelmingly support mandatory limits on global warming pollution from power plants, factories, vehicles, and other sources.",Climate Change
Fuel Economy,America's cars and light trucks consume 8 million barrels of oil every day--more than 40 percent of total U.S. oil consumption. Raising the miles-per-gallon standard of these vehicles is the biggest single step the U.S. could take to cut both oil dependence and global warming emissions.,"Clean Energy, Transportation"
Fuel Economy,America's cars and light trucks consume 8 million barrels of oil every day--more than 40 percent of total U.S. oil consumption. Raising the miles-per-gallon standard of these vehicles is the biggest single step the U.S. could take to cut both oil dependence and global warming emissions.,"Clean Energy, Transportation"
Human Pesticide Testing,"Chemical companies seeking pesticide approvals from EPA have submitted data from dozens of experiments in which humans were intentionally dosed with these toxic chemicals. Many physicians, ethicists, and environmentalists, as well as many citizens, believe the testing of pesticides on humans is unethical and unscientific. EPA has twice imposed a moratorium on considering such tests, once under President Clinton and again under the current President Bush. But after litigation and other skirmishes, EPA in 2005 reversed its position.",Toxics/Public Right to Know
Tongass Logging Roads,"At 17 million acres, the Tongass National Forest of southeast Alaska is the world's largest remaining old-growth temperate rainforest. Centuries-old trees provide critical habitat for wolves, grizzly bears, wild salmon, and bald eagles.","Lands/Forests, Wildlife"
CAFTA,"International trade can be a force for elevating living standards and improving environmental protection in the world's poorest countries. But unless trade agreements contain strong environmental rules, they may undermine the protection of natural resources. For that reason, environmental groups in both the U.S. and Central America joined in opposing the recent Central America Free Trade Agreement (CAFTA).",Other
Energy Conference Report,"In 2001, President Bush released an energy plan that was widely criticized by environmentalists for failing to reduce U.S. dependence on oil or promote energy efficiency and clean, renewable energy. For nearly five years, a coalition of environmental, consumer, and other public interest groups blocked final passage of legislation to enact the President's plan. ","Dirty Energy, Drilling"
Mercury Emissions,"Mercury is a potent neurotoxin that causes brain damage and impairs the development of fetuses, infants, and small children. It is so pervasive that 45 states have posted fish consumption advisories due to mercury contamination; in half these states, the advisories covered every lake and river. Mercury has also caused reproductive and developmental problems in such imperiled species as the bald eagle and the Florida panther.",Air
Heating Assistance,"Over the coming winter, residential customers are expected to pay 43.4 percent more for natural gas than they did the previous winter. This will be a particular blow for low-income families as they struggle to balance their energy needs with food, shelter, and other basic concerns.",Clean Energy
Farm Conservation Programs,"By rewarding farmers and ranchers who take steps to help the environment, voluntary farm conservation programs can have a significant impact on agricultural practices. But since the passage of the 2002 farm bill, Congress has cut more than $3 billion from these programs. As a result, three out of four farmers today are rejected when they seek assistance in restoring wetlands, enhancing air or water quality, or improving wildlife habitat.",Lands/Forests
Arctic Wildlife Refuge,"The protection of Alaska's Arctic National Wildlife Refuge is among the highest priorities for the national environmental community. Nowhere else on our continent is the complete range of arctic and sub-arctic landscapes protected in one unbroken chain, and no other conservation area in the circumpolar north has such abundant and diverse wildlife, including rare musk oxen, polar bears, grizzlies, wolves, millions of migratory birds, and more than 120,000 caribou. The refuge's 1.5 million-acre coastal plain has been called ""America's Serengeti.""","Drilling, Lands/Forests, Wildlife, Dirty Energy"
Oil Company Tax Credits,"The extraction and burning of fossil fuels pose significant problems for public lands, air, and water. Nonetheless, the federal government continues to give oil and gas companies billions of dollars in tax breaks, spending subsidies, and other handouts--at a time when the industry is reaping record gains. In the third quarter of 2005, for example, the five biggest oil companies reported a combined $32 billion in profits; at the same time, the oil and gas industry was eligible for nearly $10 billion in tax breaks, including $2.6 billion approved in the 2005 energy bill. These handouts tilt the playing field toward big companies and away from efficiency, conservation, and clean energy solutions.","Drilling, Dirty Energy"
Arctic Wildlife Refuge,"The protection of Alaska's Arctic National Wildlife Refuge is among the highest priorities for the national environmental community. Nowhere else on our continent is the complete range of arctic and sub-arctic landscapes protected in one unbroken chain, and no other conservation area in the circumpolar north has such abundant and diverse wildlife, including rare musk oxen, polar bears, grizzlies, wolves, millions of migratory birds, and more than 120,000 caribou. The refuge's 1.5 million-acre coastal plain has been called ""America's Serengeti.""","Drilling, Lands/Forests, Wildlife, Dirty Energy"
Environmental Funding,"The ongoing protection of our natural resources depends as much on the robust funding of programs as on strong environmental laws. Unfortunately, the fiscal year 2005 budgets proposed by the Bush Administration and endorsed by Congressional leaders would have put our nation's air, land, and water at risk by making substantial cuts to environmental programs. For example, the budget resolution reported by the Senate Budget Committee not only made deep and disproportionate cuts to environmental programs, but would have locked them in through binding two-year spending caps. The budget resolution would have required $2.8 billion in cuts to environmental and natural resource programs over two years and, over a five-year period, would have slashed environmental programs by 14 percent below the level needed to maintain current activities. These proposed cuts--exceeding those proposed for most other domestic programs--would have forced crippling reductions in programs that reduce air and water pollution, promote sound science and safeguard our natural resources.",Other
Superfund Tax,"Since its creation in 1980, the landmark Superfund law has assured the cleanup of more than 900 sites across the country. The law was based on the principle that polluters, not taxpayers, should pay to clean up the toxic waste they create--in part by contributing to a trust fund. However, these fees expired in 1996, and the trust fund has dwindled from $3.8 billion in 1996 to almost nothing today. Taxpayers are now paying more than 80 percent of the cleanup bills, and the number of Superfund sites has grown to more than 1,500, with hundreds more expected to be added in the next decade. The public health ramifications are enormous. Today, nearly 70 million citizens--including 10 million children--live within four miles of a Superfund site.",Toxics/Public Right to Know
Environmental Funding,"The ongoing protection of our natural resources depends as much on the robust funding of programs as on strong environmental laws. Unfortunately, the fiscal year 2005 budgets proposed by the Bush Administration and endorsed by Congressional leaders would have put our nation's air, land, and water at risk by making substantial cuts to environmental programs. For example, the budget resolution reported by the Senate Budget Committee not only made deep and disproportionate cuts to environmental programs, but would have locked them in through binding two-year spending caps. The budget resolution would have required $2.8 billion in cuts to environmental and natural resource programs over two years and, over a five-year period, would have slashed environmental programs by 14 percent below the level needed to maintain current activities. These proposed cuts--exceeding those proposed for most other domestic programs--would have forced crippling reductions in programs that reduce air and water pollution, promote sound science and safeguard our natural resources.",Other
National Energy Policy,"President Bush's national energy plan, first released in May 2001, was strongly criticized by environmentalists for encouraging environmentally destructive practices while doing little to provide Americans with clean, efficient sources of energy. In 2003, the Senate approved an energy bill, based on the President's plan, which would have weakened vitally important environmental laws, though it did not include a provision for drilling in the Arctic. A bipartisan filibuster blocked Senate approval of the energy bill conference report, but in March 2004, Senator Pete Domenici (R-NM) attempted to attach similar energy policy provisions to S. 150, an unrelated bill on an Internet tax moratorium. Like its precursor, Domenici's Amendment 3051 would have undermined environmental laws like the Clean Water Act, the Clean Air Act and the National Environmental Policy Act. It would also have eliminated a program for increasing the energy efficiency of federal buildings, done nothing to raise the fuel efficiency of automobiles and done little to increase America's investment in renewable energy and energy efficiency.","Drilling, Dirty Energy"
Nuclear Waste Cleanup,"The Department of Energy is responsible for cleaning up 253 underground tanks containing approximately 100 million gallons of high-level nuclear waste in Washington state, Idaho, South Carolina and New York. Many of these highly toxic tanks have already begun leaking. In recent years, however, the Energy Department has found a way to leave the waste in these tanks by using an internal rule to ""re-classify"" high-level radioactive waste as ""waste incidental to reprocessing.""","Dirty Energy, Toxics/Public Right to Know"
Myers Nomination,"The Bush Administration has continued its long track record of nominating federal judges who are hostile to basic environmental safeguards. The nominee with perhaps the most extensive anti-environment credentials to date is William G. Myers III, nominated in May 2003 for a lifetime seat on the U.S. Court of Appeals for the Ninth Circuit, which decides the fate of federal environmental safeguards in nine Western states.",Other
New Source Review,"Emissions from coal-fired power plants have been a long-standing health concern, linked by scientific studies to tens of thousands of deaths each year. Older coal-fired power plants, in particular, account for nearly all the sulfur dioxide, nitrogen oxide and soot produced by utilities. The 1970 Clean Air Act specified that new power plants and other new industrial facilities include state-of-the-art pollution controls. Existing plants initially had to meet fewer requirements but were required to install modern pollution controls whenever they made plant changes that significantly increased emissions of harmful pollutants. This requirement, known as new source review, applies to more than 20,000 industrial facilities nationwide, including incinerators, steel mills, oil refineries and paper plants in addition to power plants.","Dirty Energy, Air"
Devils Lake Project,"The U.S. Army Corps of Engineers has long been criticized for subsidizing wasteful or environmentally damaging water development projects. One project of particular concern to environmentalists is a Corps proposal to pump water from Devils Lake in north central North Dakota into the Hudson Bay watershed via the Sheyenne and Red rivers. Devils Lake, relatively shallow for many years, tripled in surface area during an unusually wet period in the mid to late 1990s, triggering calls for water stabilization. Although the lake has dropped about two feet over the past three years, the Corps--at the prodding of the North Dakota Congressional delegation--has sought to justify the pumping over strong objections from residents in neighboring Minnesota and Manitoba.","Water, Other"
Yazoo Pumps Project,"Although wetlands are known to serve vital environmental functions, among them filtering water and controlling floods, flood control is, ironically, often the justification cited by the U.S. Army Corps of Engineers for draining wetlands. Such is the case with the Corps' controversial Yazoo pumps project, which would construct one of the world's largest pumping stations to carry water over a flood control levee into Mississippi's Yazoo River. The Environmental Protection Agency has warned that the Yazoo pumps would degrade more than 200,000 acres of ecologically significant wetlands in the Mississippi Flyway--more than seven times the amount of wetlands destroyed nationwide each year under the Clean Water Act's Section 404 permit program. The pumps would also alter the hydrology of the entire 925,000-acre project area, as well as the four Mississippi delta rivers that flow through it. While the Corps contends the project would benefit local agriculture, independent economic studies have shown that those benefits are inflated by an estimated $144 million.","Water, Other"
Arctic Drilling,"The protection of Alaska's Arctic National Wildlife Refuge is among the highest priorities for the national environmental community. Nowhere else on our continent is the complete range of arctic and sub-arctic landscapes protected in one unbroken chain: from America's northernmost forest, to the highest peaks and glaciers of the Brooks Range, to the rolling tundra, lagoons and barrier islands of the coastal plain. And no other conservation area in the circumpolar north has such abundant and diverse wildlife, including rare musk oxen, polar bears, grizzlies, wolves and millions of migratory birds. The refuge is also the annual gathering point for more than 120,000 caribou--animals that are central to the culture and sustenance of the Gwich'in Athabaskan people of northeast Alaska and northwest Canada.","Drilling, Dirty Energy, Lands/Forests, Wildlife"
Superfund Tax Reinstatement,"Created by Congress in 1980, the Superfund program was founded on the principle that polluters should pay to clean up the toxic waste they create in part by contributing to a fund for cleaning up abandoned waste sites. Since then, Superfund has cleaned up more than 886 sites across the country. Despite this progress, a quarter of America's population still lives within four miles of a Superfund toxic waste site.",Toxics/Public Right to Know
Defense ESA Exemptions,"The 25 million acres of land owned and operated by the Defense Department provide important habitat for hundreds of endangered and threatened species. However, military officials contend that protecting these species and complying with environmental laws hampers military readiness activities.","Wildlife, Lands/Forests"
Renewable Fuel Liability Standards,"Conservationists support the use of renewable energy, but they also recognize that some renewable fuels may have serious environmental impacts. For instance, ETBE (ethyl tertiary butyl ether), a gas additive made from ethanol, may contaminate groundwater in the same manner as MTBE (methyl tertiary butyl ether). In addition, research indicates that ethanol inhibits the breakdown of other, more toxic components in gasoline and increases the spread of benzene and other hydrocarbons around leaking storage tanks. And as new ethanol-derived fuel additives are developed, additional public health and environmental hazards may well emerge.",Toxics/Public Right to Know
Nuclear Power Subsidies,"Nuclear power poses an array of major risks to the environment, public health and public safety. The radioactive waste produced by nuclear power plants is among the world's most dangerous substances and is extremely difficult to store safely. In addition, mining and enriching of the uranium that fuels nuclear power plants produces even more unsafe waste. Despite these concerns, the federal government has provided the nuclear industry with more than $66 billion in research and development subsidies.",Dirty Energy
Offshore Drilling,"To protect America's sensitive coastal areas from oil and gas drilling and development, Congress, since 1982, has included language in Interior appropriations bills to prevent the Interior Department from conducting leasing, pre-leasing and related activities on the Outer Continental Shelf. In 1990, President George H.W. Bush placed a ten-year moratorium on new oil leases on the Outer Continental Shelf. President Clinton subsequently extended this moratorium to 2012, and President George W. Bush included the traditional legislative moratorium language in his 2004 budget request.","Drilling, Dirty Energy"
International Family Planning,"According to the United Nations, in October 1999 the world's population reached the 6 billion mark--doubling itself in a mere 40 years. This rapid population growth, which exacerbates pollution and accelerates the depletion of natural resources, is one of the most serious threats to a healthy and sustainable environment. For more than three decades, the United States has worked to stabilize human population growth by contributing to voluntary family planning programs worldwide. By allowing women to plan the size of their families, these programs help to conserve natural resources, protect wildlife and habitat, and ultimately ensure a healthy world for future generations.",Other
Fuel Economy,"America's cars and light trucks consume 8 million barrels of oil every day--more than 40 percent of total U.S. oil consumption. Each gallon of gasoline burned produces 28 pounds of carbon dioxide, the primary contributor to global warming. American vehicles account for 20 percent of U.S. carbon dioxide emissions--and the U.S. is the largest global warming polluter on the planet. The U.S. could substantially reduce both its dependence on oil and its carbon dioxide emissions by raising the miles-per-gallon of new cars and trucks.","Clean Energy, Transportation"
Pryor Nomination,"The Bush administration has amassed a long track record of nominating federal judges who are hostile to basic environmental safeguards. But few nominees have boasted stronger anti-environmental credentials than Alabama Attorney General William H. Pryor, nominated in April 2003 for a lifetime seat on the U.S. Court of Appeals for the Eleventh Circuit, which handles appeals from federal district courts in Florida, Georgia and Alabama.",Other
Tongass Judicial Review,"At 17 million acres, the Tongass National Forest of southeast Alaska is the nation's largest national forest and the world's largest remaining intact coastal temperate rainforest. With an abundance of grizzly bears, bald eagles, and wild salmon, the area is also a prime venue for recreation and subsistence fishing.","Lands/Forests, Other"
Privatizing the Park Service,"Career employees of the National Park Service and other federal land management agencies play a critical role in protecting our nation's public lands for future generations. Yet the Bush administration in 2003 has launched an aggressive effort to privatize many critical park service jobs, potentially allowing low-bidding private contractors to take on more than half of all jobs in the chronically understaffed, financially strapped National Park Service. Environmentalists argue that privatization poses serious risks for the future of our national parks by allowing bureaucratic goals and dictates from the Office of Management and Budget, rather than individual park needs and local park-driven priorities, to govern decision making. According to a memorandum by the Park Service's own politically-appointed director, the end-result could harm the experiences of millions of park visitors, and could further limit the ethnic diversity of the Park Service workforce.",Lands/Forests
Global Warming,"Strong scientific evidence links carbon dioxide and other greenhouse gases to the warming of the Earth over the last 50 years. Worldwide, the United States is the biggest single contributor to global climate change, producing about 25 percent of all greenhouse gas emissions. Moreover, U.S. emissions continue to grow at an alarming rate, rising by 14 percent during the 1990s despite an international commitment to freeze emissions levels. While President Bush nominally has acknowledged the reality of global warming, he has steadfastly opposed the Kyoto climate treaty, negotiated in Japan in 1997, which calls for 38 industrialized countries to make cuts in greenhouse gas emissions. President Bush also reversed course on a promise he made during the presidential campaign to require power plants to reduce greenhouse gas emissions.",Climate Change
Fire Policy -- NEPA Waiver,"Few conservation measures have had greater or more lasting effect than the National Environmental Policy Act (NEPA), dubbed ""the Magna Carta of environmental protection"" by the New York Times. Signed into law by President Nixon in 1969, NEPA mandates public participation in important environmental decisions and requires federal agencies to undertake extensive environmental reviews of any projects that could have an impact on natural resources.","Lands/Forests, Other"
Forest Fire Policy,"Years of fire suppression on national forest lands in western states and the growth of cities and towns near many national forests had resulted in several disastrous fire seasons that burned homes and communities. The White House proposed to use this tragic situation as a pretext for more logging in areas that did not pose a threat to homes and businesses, while environmentalists supported a fire policy that focused on removing hazardous brush in areas near communities. Unfortunately, the White House and the timber industry prevailed, with the House rejecting a pro-environment substitute bill and passing a bill based on the president's so-called ""Healthy Forests"" initiative (H.R. 1904) in the spring (House votes 5 and 6). While the Senate version of the bill was billed as a bipartisan compromise, conservationists criticized it for weakening environmental laws and judicial independence and for failing to require agencies to adequately prioritize protection of homes and communities in areas at risk for wildfires. Conservationists also contended that, by promoting the harvesting of large fire-resistant trees far from communities and by encouraging the building of new access roads, the bill would actually increase the risk of catastrophic fires.",Lands/Forests
National Energy Policy,"President Bush's national energy plan, released in May 2001, was strongly criticized by environmentalists for encouraging environmentally destructive practices while doing little to provide Americans with clean, efficient sources of energy. Although the House passed a bill based on his plan in 2001, the Senate passed a slightly better energy bill in 2002 and the two bodies failed to reach agreement on a final bill before the 107th Congress adjourned. Early in 2003, the House again passed a bill based on the president's plan (House vote 1). The House bill, H.R. 6, was laden with more than $37 billion in corporate tax breaks and subsidies for the coal, oil, nuclear and natural gas industries. At the same time, it sought to weaken vitally important laws like the Clean Water Act and Safe Drinking Water Act. The bill would also have given the Interior Secretary authority to exempt oil companies from paying for drilling rights on public lands and included a provision to allow drilling in the Arctic National Wildlife Refuge. The House bill also largely failed to advance clean, efficient energy technologies that would enhance our national energy security and failed to increase automobile fuel efficiency standards.","Dirty Energy, Drilling, Air, Water, Lands/Forests"
National Energy Policy (2x Score),"President Bush's national energy plan, released in May 2001, was strongly criticized by environmentalists for encouraging environmentally destructive practices while doing little to provide Americans with clean, efficient sources of energy. Although the House passed a bill based on his plan in 2001, the Senate passed a slightly better energy bill in 2002 and the two bodies failed to reach agreement on a final bill before the 107th Congress adjourned. Early in 2003, the House again passed a bill based on the president's plan (House vote 1). The House bill, H.R. 6, was laden with more than $37 billion in corporate tax breaks and subsidies for the coal, oil, nuclear and natural gas industries. At the same time, it sought to weaken vitally important laws like the Clean Water Act and Safe Drinking Water Act. The bill would also have given the Interior Secretary authority to exempt oil companies from paying for drilling rights on public lands and included a provision to allow drilling in the Arctic National Wildlife Refuge. The House bill also largely failed to advance clean, efficient energy technologies that would enhance our national energy security and failed to increase automobile fuel efficiency standards.","Dirty Energy, Drilling, Air, Water, Lands/Forests"
Factory Farms,"Concentrated animal feeding operations, commonly called factory farms, pose a serious threat to the environment. By concentrating tens or hundreds of thousands of animals in a small area, these farms generate huge quantities of animal waste--billions of pounds of manure each day. Liquefied animal waste is often stored in large, leaky open-air lagoons and sprayed on nearby fields that are too small to absorb the high volume of waste. As a result, the surrounding area's surface and groundwater may be contaminated with nitrogen, phosphorous, salt, heavy metals, pathogens, antibiotics and hormones; and the surrounding air may be polluted by ammonia, hydrogen sulfide and methane. This pollution has led to algal blooms, massive fish kills and serious threats to the public's health in surrounding areas.","Other, Water"
Water Conservation,"Freshwater species depend on adequate stream flows to help maintain dissolved oxygen levels and cool water temperatures and to find food and spawning habitat. In many areas, however, agriculture and other land-use practices have disrupted stream flows, especially in western states. Partly as a result, freshwater species are disappearing at a rate five times faster than North America's mammals and birds.","Water, Wildlife"
Nuclear Accident Liability,"Enacted in 1957 as a short term measure to spur nuclear power plant development, the Price-Anderson Act continues to give nuclear plant operators an unfair subsidy by limiting their liability to the public in the event of a nuclear accident. The act caps liability at $9.4 billion and provides no mechanism for paying damages above that amount. A worst-case accident at a U.S. nuclear plant could result in damages of more than $500 billion, according to a government-commissioned study by the Sandia National Laboratory. However, Price-Anderson's liability limitation would leave victims of a nuclear accident with no guarantee of complete compensation. Moreover, the act fully indemnifies Energy Department contractors, which means that taxpayers would bear the full cost of accidents that take place at contractors' facilities, at third-party facilities where contractors are working, and on the road when contractors are hauling nuclear materials or waste.","Dirty Energy, Other"
Drinking Water Protection,"Half of the U.S. population relies on groundwater for its drinking water. Contaminated groundwater is difficult, and often impossible, to clean up. Congress recognized the importance of protecting drinking water by passing the Safe Drinking Water Act.","Water, Dirty Energy"
Fuel Economy,"America's cars and light trucks consume 8 million barrels of oil every day--an estimated 40 percent of U.S. oil consumption. Each gallon of gasoline burned produces 28 pounds of carbon dioxide, the primary contributor to global warming. American vehicles account for 20 percent of U.S. carbon dioxide emissions--and the U.S. is the largest global warming polluter on the planet. The U.S. could substantially reduce both its dependence on oil and its carbon dioxide emissions by raising the vehicle mileage-per-gallon of new cars and light trucks.","Clean Energy, Transportation"
Fuel Economy,"America's cars and light trucks consume 8 million barrels of oil every day--an estimated 40 percent of U.S. oil consumption. Each gallon of gasoline burned produces 28 pounds of carbon dioxide, the primary contributor to global warming. American vehicles account for 20 percent of U.S. carbon dioxide emissions--and the U.S. is the largest global warming polluter on the planet. The U.S. could substantially reduce both its dependence on oil and its carbon dioxide emissions by raising the vehicle mileage-per-gallon of new cars and light trucks.","Clean Energy, Transportation"
Renewable Energy Resources,"Despite the availability of clean renewable energy technologies--including wind, geothermal and solar power--our nation's electric utilities continue to depend heavily on fossil fuels, which pollute the air, land and water and threaten public health. At both the state and federal level, environmentalists have argued for a renewable portfolio standard, which requires a set percentage of energy production to come from renewable sources. Such a standard would clean the air, diversify U.S. fuel supply, protect consumers from electricity price shocks, and spur substantial economic development. In Texas, for instance, a renewable energy standard signed into law in 1999 by then-Governor George W. Bush has spurred the development of 1,100 megawatts of wind power, created 2,500 jobs and generated millions of dollars in tax revenues and landowner royalties. Twelve other states have renewable energy standards in place.",Clean Energy
Renewable Energy Resources,"Despite the availability of clean renewable energy technologies--including wind, geothermal and solar power--our nation's electric utilities continue to depend heavily on fossil fuels, which pollute the air, land and water and threaten public health. At both the state and federal level, environmentalists have argued for a renewable portfolio standard, which requires a set percentage of energy production to come from renewable sources. Such a standard would clean the air, diversify U.S. fuel supply, protect consumers from electricity price shocks, and spur substantial economic development. In Texas, for instance, a renewable energy standard signed into law in 1999 by then-Governor George W. Bush has spurred the development of 1,100 megawatts of wind power, created 2,500 jobs and generated millions of dollars in tax revenues and landowner royalties. Twelve other states have renewable energy standards in place.",Clean Energy
Arctic Drilling,"Protection of the coastal plain of the Arctic National Wildlife Refuge is among the highest priorities for the national environmental community. The complete range of arctic and sub-arctic landscapes protected in the refuge are unique: from America's northernmost forest, to the peaks and glaciers of the Brooks Range, to the rolling tundra, lagoons and barrier islands of the coastal plain. No other conservation area in the circumpolar north has such abundant and diverse wildlife, including rare musk oxen, polar bears, grizzlies, wolves and millions of migratory birds. The refuge is also the annual gathering point for more than 120,000 caribou-- animals central to the culture and sustenance of the Gwich'in Athabaskan people of northeast Alaska and northwest Canada.","Drilling, Dirty Energy, Lands/Forests, Wildlife"
Arctic Drilling (2x Score),"Protection of the coastal plain of the Arctic National Wildlife Refuge is among the highest priorities for the national environmental community. The complete range of arctic and sub-arctic landscapes protected in the refuge are unique: from America's northernmost forest, to the peaks and glaciers of the Brooks Range, to the rolling tundra, lagoons and barrier islands of the coastal plain. No other conservation area in the circumpolar north has such abundant and diverse wildlife, including rare musk oxen, polar bears, grizzlies, wolves and millions of migratory birds. The refuge is also the annual gathering point for more than 120,000 caribou-- animals central to the culture and sustenance of the Gwich'in Athabaskan people of northeast Alaska and northwest Canada.","Drilling, Dirty Energy, Lands/Forests, Wildlife"
Dam Relicensing,"Hydropower dams can have highly detrimental impacts on rivers and the species that depend upon them. Blocking the passage of fish, causing wildly fluctuating water flows and leaving some rivers completely dry, hydropower dams have degraded some of our nation's most remarkable rivers and have left dozens of fish stocks at risk of extinction.","Other, Water, Wildlife"
Municipal Solid Waste Incineration,"Garbage incineration is one of our nation's costliest and most dangerous means of generating energy, releasing large quantities of such toxic chemicals as lead and dioxin into the atmosphere. In addition, according to the Environmental Protection Agency, garbage incinerators in 2000 emitted 2.2 tons of mercury--nearly 20 percent of the nation's mercury emissions--polluting groundwater and surface water, contaminating fish populations, and significantly raising the risk of neurological damage and birth defects in humans.","Dirty Energy, Toxics/Public Right to Know"
Renewable Fuel Liability Waiver,"Conservationists support the use of renewable energy, but they also recognize that some renewable fuels may have serious environmental impacts. For instance, ETBE (ethyl tertiary butyl ether), a gas additive made from ethanol, may contaminate groundwater in the same manner as MTBE (methyl tertiary butyl ether). In addition, ethanol may inhibit the breakdown of other, more toxic components in gasoline and increase the spread of benzene and other hydrocarbons around leaking storage tanks.",Toxics/Public Right to Know
Energy Efficiency,"Air conditioning represents a major share of peak power demand in urban areas on hot days--as much as 70 percent in Houston for example. Improving the efficiency of air conditioning can bring enormous benefits to the environment by reducing power plant emissions that cause acid rain, mercury contamination, and climate change. Greater efficiency can significantly reduce power shortages in highly populated areas, potentially making the difference between a stable power supply and an ongoing series of blackouts and brownouts.",Clean Energy
