Bill,Summary,Issues
"Bernhardt Confirmation (Deputy Secretary, Interior)","The Senate considered President Trump's nomination of David Bernhardt to serve as deputy secretary of the Department of the Interior (DOI). This deputy secretary position is critical to protecting our treasured natural heritage for future generations, but Bernhardt’s record makes clear he would put our public lands, national monuments and parks, clean air and water, and wildlife at risk. Bernhardt’s long history of lobbying for many of the industries—including oil and gas, mining, and developers—under DOI's regulatory purview creates numerous conflicts of interest. Additionally, Bernhardt’s career is marked by many instances of fighting against federal environmental safeguards, and he has been in close proximity to ethics scandals during his previous tenure at DOI. Finally, during his confirmation hearing, Bernhardt would not commit to leading the agency to tackle the urgent challenge of climate change and the dangers it poses to our natural resources. On July 24, the Senate confirmed Bernhardt to be deputy secretary of the Interior by a vote of 53-43 (Senate roll call vote 166). NO IS THE PRO-ENVIRONMENT VOTE.","Climate Change, Lands/Forests, Wildlife, Other"
Undermining Federal Safeguards for Protected Species,"Senator Mike Lee (R-UT) offered an amendment to H.Con.Res. 71, the Budget Resolution, which called for legislation to undermine the protection of plants and wildlife listed under the Endangered Species Act. The Lee amendment would strip federal safeguards for protected species found entirely within the borders of a single state, including all listed plants and animals in Hawaii. The fate of about 77 percent of all federally protected species would thus depend on state laws and funding, but states generally lack the programs and resources necessary to recover listed species and ultimately prevent their declines and extinctions. On October 19, the Senate rejected the Lee amendment by a vote of 49-51 (Senate roll call vote 242). NO IS THE PRO-ENVIRONMENT VOTE. ",Wildlife
Protecting the Arctic Refuge,"Senator Maria Cantwell (D-WA) sponsored an amendment to H.Con.Res. 71, the Budget Resolution. This amendment would remove the budget reconciliation instructions that paved the way for drilling in the pristine and sacred Arctic National Wildlife Refuge. The indigenous Gwich’in people call the Arctic Refuge’s coastal plain “the sacred place where life begins,” reflecting the importance and the need to protect this special place. These reconciliation instructions for Arctic drilling were included in the Budget Resolution as an attempt to generate $1 billion in government revenue to somehow justify $1.5 trillion in tax cuts for the wealthy, but multiple analyses show that it is unlikely to raise anywhere close to even that amount. On October 19, the Senate rejected the Cantwell amendment by a vote of 48-52 (Senate roll call vote 243). YES IS THE PRO-ENVIRONMENT VOTE. The budget resolution, including the Arctic Refuge drilling instructions was adopted on October 26.","Lands/Forests, Dirty Energy, Drilling"
Budget Resolution Paving the Way for Drilling in the Arctic Refuge,"Representative Diane Black (R-TN) sponsored H.Con.Res. 71, the Budget Resolution, which authorized an increase in the deficit of $1.5 trillion to enact the GOP tax bill and will likely result in cuts to safeguards for our air, water, lands and wildlife. The legislation paved the way for the tax bill to include a rider that turns the pristine and sacred Arctic National Wildlife Refuge into an industrial oil field.  On October 19, the Senate approved H.Con.Res. 71 by a vote of 51-49 (Senate roll call vote 245). NO IS THE PRO-ENVIRONMENT VOTE. The House passed the Senate version of the budget on October 26 and the resolution was adopted.","Lands/Forests, Dirty Energy, Drilling"
Eid Confirmation (10th Circuit Court of Appeals),"The Senate considered President Trump’s nomination of Allison Eid to the Tenth Circuit U.S Court of Appeals. Lower court judges have an immense responsibility to protect the rights of the people of this country and to interpret the constitution without personal ideological influence. It is the lower court judges who often serve as the final arbiter of justice. Unfortunately, Eid has a disturbing history of siding with corporate polluters over the environment and public health. She has written academic pieces that applaud the outcome of the Solid Waste Agency of Northern Cook County v. US Army Corps of Engineers decision, which created confusion over the jurisdiction of the Clean Water Act. In Colorado Oil & Gas Conservation Commission v. Grand Valley Citizens’ Alliance, Eid sided with oil companies, allowing them to bypass public hearings and local input before obtaining drilling permits. On November 2, the Senate confirmed Eid to the Tenth Circuit U.S. Court of Appeals by a vote of 56-41 (Senate roll call vote 259). NO IS THE PRO-ENVIRONMENT VOTE.",Other
"Wehrum Confirmation (Assistant Administrator, EPA)","The Senate considered President Trump's nomination of William Wehrum to serve as assistant administrator for the Environmental Protection Agency’s (EPA) Office of Air and Radiation (OAR). This important office at the EPA plays a key role in protecting people from air pollution and radiation exposure, making this position critical to maintaining and enforcing public health safeguards. But Wehrum’s long history of representing many of the industries—utilities, energy companies, and other major polluters—that are attempting to roll back safeguards issued under the Clean Air Act, make him unfit to serve in this position. Additionally, during his previous tenure at the OAR from 2001 to 2007, Wehrum led efforts to weaken safeguards to reduce mercury emissions from coal fired power plants and other safeguards intended to reduce lead, fine particulate pollution, and ozone smog pollution. On November 9, the Senate confirmed Wehrum to be assistant administrator of OAR by a vote of 49-47 (Senate roll call vote 268). NO IS THE PRO-ENVIRONMENT VOTE. ","Climate Change, Clean Air, Other"
Anti-Environmental Tax Bill that Opens Drilling in the Arctic Refuge,"Representative Kevin Brady (R-TX) sponsored H.R. 1, the Tax Cut and Jobs Act, which sells out key environmental priorities to deliver a massive tax cut for millionaires, billionaires, and huge corporations. The bill increases the deficit by $1.5 trillion, harming people nationwide by likely resulting in cuts to safeguards for our air, water, lands and wildlife. The legislation puts our clean energy future at risk while maintaining giveaways to fossil fuel interests. The conference report for H.R. 1 even turns the pristine and sacred Arctic National Wildlife Refuge into an industrial oil field. Following its passage in the House, on December 20, the Senate approved the conference report for H.R. 1 by a vote of 51-48 (Senate roll call vote 323). NO IS THE PRO-ENVIRONMENT VOTE. President Trump signed H.R. 1 into law on December 22.","Lands/Forests, Dirty Energy, Drilling"
Extreme Attack on Clean Water Protections (CRA),"Senator Joni Ernst (R-IA) sponsored S.J. Res. 22, a Congressional Review Act “Resolution of Disapproval,” which would void the Environmental Protection Agency and the U.S. Army Corps of Engineers’ Clean Water Rule that protects the small streams and wetlands that feed into the drinking water of 117 million people in this country. Not only would this radical legislative tool vacate the current rule, it would also prohibit the agencies from developing any “substantially similar” rule in the future, keeping the unworkable status quo in place. This could prevent the agencies from ever issuing rules that establish Clean Water Act protections for the waters covered by the Clean Water Rule, leaving our streams, wetlands, lakes, and rivers vulnerable to pollution for generations to come. On January 19, President Obama vetoed S.J. Res. 22. On January 21, the Senate rejected the motion to end debate and proceed to the S.J. Res. 22 veto override by a vote of 52-40 (60 votes were needed to invoke cloture; Senate roll call vote 5). NO IS THE PRO-ENVIRONMENT VOTE.",Water
Clean Energy Funding,"Senator Brian Schatz (D-HI) offered an amendment to S. 2012, the Energy Policy Modernization Act of 2015, which would increase funding for the Advanced Research Projects Agency-Energy, an important Department of Energy research program intended to spur transformational breakthroughs in energy technologies. Additional funding for this program could help the United States lead in the clean energy transformation. On January 28, the Senate approved the Schatz amendment by a vote of 55-37 (Senate roll call vote 9). YES IS THE PRO-ENVIRONMENT VOTE. S. 2012 passed the Senate and moved to conference with a House-passed energy bill, but did not become law.",Clean Energy
National Monuments,"Senator Mike Lee (R-UT) offered an amendment to S. 2012, the Energy Policy Modernization Act of 2015, which would gut the Antiquities Act, the law first used to protect half of our national parks. The Antiquities Act has been used by 16 presidents of both parties to protect many of America’s most special places, from the Statue of Liberty to the Grand Canyon to the Pacific Remote Islands in Hawaii. On February 2, the Senate rejected the Lee amendment by a vote of 47-48 (Senate roll call vote 10). NO IS THE PRO-ENVIRONMENT VOTE.",Lands/Forests
Energy Efficiency,"Senator Al Franken (D-MN) offered an amendment to S. 2012, the Energy Policy Modernization Act of 2015, which would establish a national energy efficiency resource standard based on successful programs in Minnesota that require electricity and natural gas providers to meet annual targets for cutting energy use in homes and businesses. Energy efficiency saves consumers money while reducing the public health and environmental risks of pollution. This amendment would also send a clear market signal that would spur research and development of energy efficient technologies. On February 2, the Senate rejected the Franken amendment by a vote of 43-52 (Senate roll call vote 11). YES IS THE PRO-ENVIRONMENT VOTE.",Clean Energy
Fast Tracking Natural Gas Pipelines,"Senator John Barrasso (R-WY) offered an amendment to S. 2012, the Energy Policy Modernization Act of 2015, which would set strict, arbitrary deadlines for the review of natural gas pipelines on federal and tribal lands. This amendment undermines the National Environmental Policy Act (NEPA) by promoting accelerated construction of pipelines and other components of natural gas production at the cost of the environmental reviews that NEPA established to identify serious safety and environmental risks. On February 2, the Senate rejected the Barrasso amendment by a vote of 52-43 (60 votes were needed for passage; Senate roll call vote 12). NO IS THE PRO-ENVIRONMENT VOTE.","Dirty Energy, Lands/Forests"
Limiting Public Safeguards,"Senator Dan Sullivan (R-AK) offered an amendment to S. 2012, the Energy Policy Modernization Act of 2015, which would require federal agencies to eliminate a public protection with equal or greater compliance costs before adopting a new one. The Sullivan amendment adopts an extreme and unwise “cut-go” approach to rulemaking, drastically limiting the government’s ability to quickly respond to emerging public health threats and catastrophes like the drinking water crisis that unfolded in Flint, Michigan. On February 2, the Senate rejected the Sullivan amendment by a vote of 49-46 (Senate roll call vote 13). NO IS THE PRO-ENVIRONMENT VOTE.",Other
Taxpayer Handouts for Fossil Fuel Companies,"Senator Brian Schatz (D-HI) offered an amendment to S. 2012, the Energy Policy Modernization Act of 2015, which would phase out fossil fuel subsidies for coal and some of the largest producers of oil and gas over a four-year period, the same time period over which Congress recently decided to phase out tax credits for solar and wind. The fossil fuel subsidies phased out by this amendment represent billions of dollars of taxpayer handouts for a mature and highly-polluting industry. On February 2, the Senate rejected the Schatz amendment by a vote of 45-50 (Senate roll call vote 14). YES IS THE PRO-ENVIRONMENT VOTE.",Dirty Energy
Genetically Modified Food Labeling,"Senator Pat Roberts (R-KS) introduced S. 2609, a bill to amend the Agricultural Marketing Act of 1946, also known as the Denying Americans the Right to Know (DARK) Act, which would prevent states from requiring the labeling of genetically modified organisms (GMOs). In addition, the bill would make it harder for companies to inform customers about their ingredients, strip the Food and Drug Administration of its jurisdiction over GMO food disclosures, and force the USDA to spend resources promoting biotechnology to consumers. The majority of people in the United States increasingly want to know more about where their food comes from, not less. But instead, this bill’s sweeping preemption of state and local authority is an attack on consumer choice and state efforts to protect human health and the environment. Senator Roberts’ bill was added to S. 764, but on March 16, the Senate rejected the DARK Act by a vote of 48-49 (Senate roll call vote 37). NO IS THE PRO-ENVIRONMENT VOTE. S. 764 was later amended and passed by both chambers and signed into law by President Obama on July 29.",Toxics/Public Right to Know
Encouraging Energy-Efficient Homes,"Senator Johnny Isakson (R-GA) offered an amendment to S. 2012, the Energy Policy Modernization Act of 2015, which would reform the mortgage market to incentivize energy efficiency by ensuring that energy costs are included in the underwriting process. More efficient homes save money for homeowners while reducing carbon pollution. On April 19, the Senate approved the Isakson amendment by a vote of 66-31 (Senate roll call vote 49). YES IS THE PRO-ENVIRONMENT VOTE. S. 2012 passed the Senate and moved to conference with a House-passed energy bill, but did not become law.",Clean Energy
Land & Water Conservation Fund (LWCF),"Senator James Lankford (R-OK) offered an amendment to S. 2012, the Energy Policy Modernization Act of 2015, which would divert money away from the Land and Water Conservation Fund (LWCF) in order to address maintenance projects in our national parks. This amendment would restrict spending from LWCF’s statutorily-directed purpose in order to address the National Park Service’s deferred maintenance backlog. On April 19, the Senate rejected the Lankford amendment by a vote of 34-63 (Senate roll call vote 50). NO IS THE PRO-ENVIRONMENT VOTE.",Lands/Forests
Wind Energy Transmission Line,"Senator John Boozman (R-AR) offered an amendment to S. 2012, the Energy Policy Modernization Act of 2015, which would require additional studies before proceeding with the construction of a 700-mile electricity transmission project that would bring wind energy from the Great Plains to the southeast. The project, known as the Plains and Eastern Clean Line project, would provide much-needed transmission capacity to our outdated grid and has already been approved under a process created by the Energy Policy Act of 2005. On April 19, the Senate rejected the Boozman amendment by a vote of 42-55 (Senate roll call vote 51). NO IS THE PRO-ENVIRONMENT VOTE.",Clean Energy
Victory Bonds for Clean Energy,"Senator Tom Udall (D-NM) offered an amendment to S. 2012, the Energy Policy Modernization Act of 2015, which would require the secretary of the Treasury to develop a plan to issue Clean Energy Victory Bonds. These bonds would aim to raise as much as $50 billion and would be used to finance clean energy projects, including wind, solar, advanced vehicles, and fuel cells. Rapid deployment of clean energy technology is the best way to fight climate change. On April 19, the Senate rejected the Udall amendment by a vote of 50-47 (60 votes were needed for passage; Senate roll call vote 52). YES IS THE PRO-ENVIRONMENT VOTE.",Clean Energy
Attack on the Clean Water Rule,"Senator John Hoeven (R-ND) offered an amendment to H.R. 2028, the Further Continuing and Security Assistance Appropriations Act, 2017, which would prohibit the use of funds for implementation of the Environmental Protection Agency and Army Corps of Engineers’ Clean Water Rule, which protects the small streams and wetlands that feed into the drinking water of 117 million people in the United States. On April 21, the Senate rejected the Hoeven amendment by a vote of 56-42 (60 votes were needed for passage; Senate roll call vote 57). NO IS THE PRO-ENVIRONMENT VOTE.",Water
Attack on Advanced Vehicles,"Senator Dan Coats (R-IN) offered an amendment to H.R. 2028, the Further Continuing and Security Assistance Appropriations Act, 2017, which would ban the use of funds for the Advanced Technology Vehicles Manufacturing loan program. The loan program has successfully promoted innovation in the market for low carbon vehicles, supporting early efforts by companies like Tesla Motors. On April 21, the Senate rejected the Coats amendment by a vote of 48-49 (Senate roll call vote 58). NO IS THE PRO-ENVIRONMENT VOTE.",Transportation
Water Conservation Program,"Senator Harry Reid (D-NV) offered an amendment to H.R. 2028, the Further Continuing and Security Assistance Appropriations Act, 2017, which would create a pilot program for water conservation in the Colorado River system. With climate change fueling droughts across the western United States, a new approach to water use in the Colorado basin is badly needed. On April 26, the Senate approved the Reid amendment by a vote of 73-23 (Senate roll call vote 62). YES IS THE PRO-ENVIRONMENT VOTE. H.R. 2028 was signed into law by President Obama on December 10.","Water, Climate Change"
Mitigating Impacts on Fish and Wildlife,"Senator Ben Cardin (D-MD) offered an amendment to H.R. 2028, the Further Continuing and Security Assistance Appropriations Act, 2017, which would require the Secretary of the Army to use federal and state expertise to mitigate the fish and wildlife impacts of the Army Corps of Engineers’ projects. This amendment clarifies requirements in the Fish and Wildlife Coordination Act of 1958 to ensure that federal agencies give full consideration to wildlife impact analyses from the Fish and Wildlife Service and state agencies. On May 11, the Senate rejected the Cardin amendment by a vote of 39-60 (Senate roll call vote 69). YES IS THE PRO-ENVIRONMENT VOTE.",Wildlife
Revenue Sharing for Offshore Drilling,"Senator Bill Cassidy (R-LA) sponsored S. 3110, the American Energy and Conservation Act of 2016, which would expand revenue sharing from offshore drilling on the Outer Continental Shelf, which creates incentives for additional offshore drilling that damages our climate and coastal communities, businesses, and ecosystems. Offshore drilling inevitably leads to oil spills, which puts at risk coastal communities’ robust tourism and commercial and recreational fishing industries, as well as critically important wildlife, while impeding America’s transition to clean energy. Revenue sharing also siphons revenues away from the Treasury and directs them to a handful of states at a time when we are struggling to address our nation’s fiscal challenges. On November 17, the Senate rejected a motion to end debate and proceed to S. 3110 by a vote of 51-47 (60 votes were needed to end debate; Senate roll call vote 153). NO IS THE PRO-ENVIRONMENT VOTE.","Drilling, Dirty Energy, Oceans"
Limiting Access to the Courts,"Senator Mike Lee (R-UT) offered an amendment to S. 1, the Keystone XL Pipeline Act, which would have a chilling effect on citizen enforcement of the Endangered Species Act (ESA), one of American’s most effective and important environmental laws that serves as a safety net for wildlife, fish and plants on the brink of extinction. By subjecting ESA lawsuits to the Equal Access to Justice Act’s below-market cap on legal fees, this amendment would make it more difficult for citizens from across the political spectrum to obtain counsel and challenge illegal government actions. On January 21, the Senate rejected the Lee amendment by a vote of 54-45 (60 votes were needed for passage; Senate roll call vote 7). NO IS THE PRO-ENVIRONMENT VOTE.",Other
Attack on Clean Air Protections,"Senator Pat Toomey (R-PA) offered an amendment to S.1, the Keystone XL Pipeline Act, which would exempt power plant units that burn ""coal refuse"" or waste from complying with certain clean air and public health protections required under the Environmental Protection Agency’s Cross State Air Pollution Rule and the Mercury and Air Toxics Standards. Communities living downwind from these plants would suffer negative health consequences, ranging from asthma attacks to premature deaths, were these clean air exemptions to become law. On January 21, the Senate rejected the Toomey amendment by a vote of 54-45 (60 votes were needed for passage; Senate roll call vote 9). NO IS THE PRO-ENVIRONMENT VOTE.",Air
Climate Change Science,"Senator Brian Schatz (D-HI) offered an amendment to S.1, the Keystone XL Pipeline Act, which expresses the sense of Congress that climate change is real and that man-made pollution is a significant contributor to climate change. 2014 and 2015 were the two hottest years on record, and this amendment references the findings of the Intergovernmental Panel on Climate Change and other scientific institutions. On January 21, the Senate rejected the Schatz amendment by a vote of 50-49 (60 votes were needed for passage; Senate roll call vote 12). YES IS THE PRO-ENVIRONMENTAL VOTE.",Climate Change
Prioritizing Drilling on Public Lands,"Senator Mike Lee (R-UT) offered an amendment to S.1, the Keystone XL Pipeline Act, which would expedite the applications to drill on America’s public lands and would limit the amount of public input in the decision-making process. Oil and gas companies now have more access to America’s public lands than they currently use and it makes no sense to limit public engagement. On January 22, the Senate rejected the Lee amendment by a vote of 51-47 (60 votes were needed for passage; Senate roll call vote 17). NO IS THE PRO-ENVIRONMENT VOTE.",Lands/Forests
Forcing Tar Sands Polluters to Pay for Spills,"Senator Ron Wyden (D-OR) offered an amendment to S.1, the Keystone XL Pipeline Act, which would close a tax code loophole that exempts tar sands producers from paying into the Oil Spill Liability Trust Fund. Without this fix, taxpayers are on the hook to pay for tar sands spill clean-ups like the ongoing $1.2 billion effort in Kalamazoo, Michigan. On January 22, the Senate rejected the Wyden amendment by a vote of 50-47 (60 votes were needed for passage; Senate roll call vote 19). YES IS THE PRO-ENVIRONMENT VOTE.",Dirty Energy
International Climate Action,"Senator Roy Blunt (R-MO) offered an amendment to S.1, the Keystone XL Pipeline Act, which undermines the United States’ ability to encourage other countries to address climate change and would be a significant setback in the global fight against climate change. The Blunt amendment seeks to undermine the November 2014 U.S.-China announcement that demonstrated both countries’ commitment to tackling this challenge and builds momentum toward a global solution to the climate crisis. On January 22, the Senate rejected the Blunt amendment by a vote of 51-46 (60 votes were needed for passage; Senate roll call vote 20). NO IS THE PRO-ENVIRONMENT VOTE.",Climate Change
Liquefied Natural Gas (LNG) Exports,"Senator Ted Cruz (R-TX) offered an amendment to S.1, the Keystone XL Pipeline Act, which would undermine the Department of Energy's role in approving applications to export liquefied natural gas (LNG). The Cruz amendment interferes with the department's ability to consider LNG exports’ wide range of potential impacts, including negative impacts on American consumers, health, and the environment. On January 28, the Senate rejected the Cruz amendment by a vote of 53-45 (60 votes were needed for passage; Senate roll call vote 34). NO IS THE PRO-ENVIRONMENT VOTE.",Dirty Energy
Prairie-Chicken Protections,"Senator Jerry Moran (R-KS) offered an amendment to S.1, the Keystone XL Pipeline Act, which would delist the lesser prairie chicken as a threatened species under the Endangered Species Act. The Moran amendment subverts the science-based process the U.S. Fish and Wildlife Service uses to determine the population viability of various species and removes protections deemed necessary for the prairie chicken’s survival. On January 28, the Senate rejected the Moran amendment by a vote of 54-44 (60 votes were needed for passage; Senate roll call vote 35). NO IS THE PRO-ENVIRONMENT VOTE.",Wildlife
National Monuments,"Senator Steve Daines (R-MT) offered an amendment to S.1, the Keystone XL Pipeline Act, which would express the sense of Congress that national monument designations on federal lands should require approval by the governor and state legislature. Although non-binding, this amendment undermines the intent of the Antiquities Act of 1906, a law that 16 presidents of both parties have used to move swiftly in the face of threats and protect some of America’s most treasured places like the Grand Canyon and the Statue of Liberty. On January 28, the Senate rejected the Daines amendment by a vote of 50-47 (60 votes were needed for passage; Senate roll call vote 37). NO IS THE PRO-ENVIRONMENT VOTE.",Lands/Forests
Clean Energy Tax Credits,"Senator Heidi Heitkamp (D-ND) offered an amendment to S.1, the Keystone XL Pipeline Act, which would express the sense of Congress that the Production Tax Credit should be renewed for five years. This tax incentive expired at the end of 2014 and is essential to the continued expansion of renewable energy sources like wind, and would create jobs, reduce pollution, and increase our energy independence. On January 28, the Senate rejected the Heitkamp amendment by a vote of 47-51 (Senate roll call vote 40). YES IS THE PRO-ENVIRONMENT VOTE. A five year extension and phase down of the Production Tax Credit was included in H.R. 2029, the FY16 spending deal, which President Obama signed into law on December 18.",Clean Energy
Fracking Drinking Water Loophole,"Senator Kirsten Gillibrand (D-NY) offered an amendment to S.1, the Keystone XL Pipeline Act, which would close the “Halliburton Loophole,” a provision in the 2005 Energy Policy Act that exempted hydraulic fracturing (fracking) from regulation under the Safe Drinking Water Act. The Gillibrand amendment is an important first step in ensuring the fracking process is subject to all of our major environmental laws, in order to protect our health, communities, and environment. On January 28, the Senate rejected the Gillibrand amendment by a vote of 35-63 (Senate roll call vote 41). YES IS THE PRO-ENVIRONMENT VOTE.",Water
Land & Water Conservation Fund (LWCF),"Senator Richard Burr (R-NC) offered an amendment to S.1, the Keystone XL Pipeline Act, which would reauthorize the Land and Water Conservation Fund (LWCF), America’s premier conservation program whose authorization expired on September 30, 2015. LWCF has been a 50-year conservation success story, improving open space and outdoor recreation opportunities for all Americans. The Burr amendment would also provide funds to increase access to public lands that may otherwise be inaccessible. On January 29, the Senate rejected the Burr amendment by a vote of 59-39 (60 votes were needed for passage; Senate roll call vote 43). YES IS THE PRO-ENVIRONMENT VOTE. A three year extension of the Land and Water Conservation Fund was included in H.R. 2029, the FY16 spending deal, which President Obama signed into law on December 18.",Lands/Forests
Renewable Electricity Standard (RES),"Senator Tom Udall (D-NM) offered an amendment to S.1, the Keystone XL Pipeline Act, which would set a goal for the nation to get 25 percent of its electricity from renewable sources by 2025. This policy builds on the proven success states have seen in setting similar policies and would help the United States lead in the global clean energy economy. A strong national renewable electricity standard would create jobs, protect consumers, and reduce pollution. On January 29, the Senate rejected the Udall amendment by a vote of 45-53 (Senate roll call vote 44). YES IS THE PRO-ENVIRONMENT VOTE.",Clean Energy
Keystone XL Tar Sands Pipeline (KXL),"Senator John Hoeven (R-ND) sponsored S.1, the Keystone XL Pipeline Act, which would automatically approve this dangerous pipeline, transporting the world’s dirtiest oil through the American heartland to an international shipping port on the Gulf Coast where it would be exported. Keystone XL would lead to a significant expansion of tar sands development, unleashing massive amounts of carbon pollution and threatening surrounding communities, ecosystems, and watersheds including the Ogallala aquifer, which provides drinking water for millions of Americans. Despite these threats, Keystone XL would create just 35 permanent jobs and would not enhance American energy independence. S.1 would short circuit the federal approval process, eliminating the State Department’s ability to assess whether the pipeline is in the national interest, and diminishing the president’s authority to ultimately approve or reject the project. On January 29, the Senate approved S.1 by a vote of 62-36 (Senate roll call vote 49). NO IS THE PRO-ENVIRONMENT VOTE. Following House passage of this bill, President Obama vetoed S. 1 on February 24. On March 4, the Senate failed to override the veto by a vote of 62-37 (67 votes needed for override; Senate roll call vote 68). NO IS THE PRO-ENVIRONMENT VOTE. On November 6, President Obama rejected TransCanada’s permit application to construct the Keystone XL pipeline, citing concerns about its climate impact.",Dirty Energy
Keystone XL Tar Sands Pipeline (KXL) Veto Override,"Senator John Hoeven (R-ND) sponsored S.1, the Keystone XL Pipeline Act, which would automatically approve this dangerous pipeline, transporting the world’s dirtiest oil through the American heartland to an international shipping port on the Gulf Coast where it would be exported. Keystone XL would lead to a significant expansion of tar sands development, unleashing massive amounts of carbon pollution and threatening surrounding communities, ecosystems, and watersheds including the Ogallala aquifer, which provides drinking water for millions of Americans. Despite these threats, Keystone XL would create just 35 permanent jobs and would not enhance American energy independence. S.1 would short circuit the federal approval process, eliminating the State Department’s ability to assess whether the pipeline is in the national interest, and diminishing the president’s authority to ultimately approve or reject the project. On January 29, the Senate approved S.1 by a vote of 62-36 (Senate roll call vote 49). NO IS THE PRO-ENVIRONMENT VOTE. Following House passage of this bill, President Obama vetoed S. 1 on February 24. On March 4, the Senate failed to override the veto by a vote of 62-37 (67 votes needed for override; Senate roll call vote 68). NO IS THE PRO-ENVIRONMENT VOTE. On November 6, President Obama rejected TransCanada’s permit application to construct the Keystone XL pipeline, citing concerns about its climate impact.",Dirty Energy
Selling Off America's Public Lands,"Senate Energy and Natural Resources Committee Chair Lisa Murkowski (R-AK) offered an amendment to S. Con. Res. 11, the Senate version of the FY16 budget, which would authorize the sale, transfer or exchange of federal lands, including wildlife refuges, wilderness areas, national forests, and national memorials to state and local governments. The Murkowski amendment would allow states to take control of some of our nation’s most cherished places and sell them off to private interests for oil and gas drilling, logging, mining, and other development. On March 26, the Senate approved the Murkowski amendment by a vote of 51-49 (Senate roll call vote 106). NO IS THE PRO-ENVIRONMENT VOTE. The Murkowski amendment was included in the final Budget Conference Report that was approved by the House on April 30 and the Senate on May 5.",Lands/Forests
Responding to the Threat of Climate Change,"Senator Michael Bennet (D-CO) offered an amendment to S. Con. Res. 11, the Senate version of the FY16 budget, which would create a deficit-neutral reserve fund related to responding to the threat climate change poses to our economy and national security. The Bennet amendment encourages the adoption of clean energy, the increased use of energy efficiency, and a reduction in carbon emissions. On March 26, the Senate approved the Bennet amendment by a vote of 53-47 (Senate roll call vote 115). YES IS THE PRO-ENVIRONMENT VOTE. The Bennet amendment was not included in the final Budget Conference Report that was approved by the House on April 30 and the Senate on May 5.",Climate Change
Undermining Critical Habitat for Wildlife,"Senator Tom Cotton (R-AR) offered an amendment to S. Con. Res. 11, the Senate version of the FY16 budget, which would undermine the protection of imperiled plants and wildlife. The Cotton amendment would require the U.S. Fish and Wildlife Service (FWS) to examine the “cumulative” economic effects of a critical habitat designation, such as the effect on agriculture and business. The FWS already evaluates the total federal costs of a critical habitat designation and this amendment would drain agency resources that could be better used to further protections for wildlife and plants. On March 27, the Senate approved the Cotton amendment by a vote of 52-42 (Senate roll call vote 128). NO IS THE PRO-ENVIRONMENT VOTE. The Cotton amendment was included in the final Budget Conference Report that was approved by the House on April 30 and the Senate on May 5.",Wildlife
Investor-State Dispute Settlement in Trade Agreements,"Senator Elizabeth Warren (D-MA) offered an amendment to H.R. 1314, the Trade Act of 2015, which would prohibit the application of “fast track” authority, which allows for expedited congressional approval of international trade deals for any agreement that includes a provision allowing investor-state dispute settlement (ISDS). Investor-state dispute settlement is a mechanism that allows foreign corporations to challenge government policies and actions that companies claim harm their investments or profits, and these challenges take place in front of private trade tribunals. The use of ISDS has increased rapidly in recent years, and many of these cases have involved challenges to environment and clean energy policies. On May 22, the Senate rejected the Warren amendment by a vote of 39-60 (Senate roll call vote 188). YES IS THE PRO-ENVIRONMENT VOTE.",Other
Fast Track of Trade Agreements,"Representative Patrick Meehan (R-PA) sponsored H.R. 1314, the Trade Act of 2015, which approves “fast track” trade promotion authority for international trade agreements. Fast track allows the administration to send already-signed international trade deals to Congress for an up or down vote with limited debate and no amendments, severely hampering Congress’ ability to ensure these agreements benefit communities and protect our environment. Given the scope of these massive agreements and their implications on environmental policies and protections around the world, Congress and the American public have a right to know what is in these deals before negotiations are finished. However, the fast track process established in H.R. 1314 severely lacks both accountability and transparency and does not result in the “race to the top” that is necessary to make real, enforceable progress on environmental and public health issues in these agreements. On May 22, the Senate passed H.R.1314 by a vote of 62-37 (Senate roll call vote 193). NO IS THE PRO-ENVIRONMENT VOTE. President Obama signed fast track authority into law on June 29.",Other
Climate Change Science Education,"Senator Ed Markey (D-MA) offered an amendment to S. 1177, the Every Child Achieves Act of 2015, which would establish a K-12 climate change education grant program. Participating states would compete for grants in order to create climate change science and solutions curriculum, teacher trainings, and to achieve sustainable building standards. On July 15, the Senate rejected the Markey amendment by a vote of 44-53 (Senate roll call vote 238). YES IS THE PRO-ENVIRONMENT VOTE.",Climate Change
Gutting Clean Water Protections,"Senator John Barrasso (R-WY) sponsored S. 1140, the Federal Water Quality Protection Act, a radical assault on the Environmental Protection Agency and the U.S. Army Corps of Engineers’ Clean Water Rule, which protects the small streams and wetlands that feed into the drinking water of one in three Americans. S. 1140 would block implementation of the current Clean Water Rule and would require the agencies to re-propose another rule, forcing them to go back to the drawing board, repeating processes and soliciting input that they have already received, a waste of time and taxpayer money. In addition, this bill would also severely narrow and undermine the Clean Water Act itself by arbitrarily defining which waterways deserve protection without any basis in science or recognition of the important role of headwaters and seasonal and rain-dependent waters on downstream water quality. On November 3, the Senate rejected the motion to end debate and proceed to S. 1140 by a vote of 57-41 (60 votes were needed to invoke cloture; Senate roll call vote 295). NO IS THE PRO-ENVIRONMENT VOTE.",Water
